mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared,0,sample_trace,FIFO,ProportionalAllocation,4,4,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,FIFO,ProportionalAllocation,4,4,3100,{'interleave': 'trace-order'},0.0031
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,5,10700,{'interleave': 'trace-order'},0.0107
shared,0,sample_trace,FIFO,ProportionalAllocation,4,5,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,ProportionalAllocation,4,5,3200,{'interleave': 'trace-order'},0.0032
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,6,8800,{'interleave': 'trace-order'},0.0088
shared,0,sample_trace,FIFO,ProportionalAllocation,4,6,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,ProportionalAllocation,4,6,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,7,7900,{'interleave': 'trace-order'},0.0079
shared,0,sample_trace,FIFO,ProportionalAllocation,4,7,2100,{'interleave': 'trace-order'},0.0021
shared,1,sample_trace,FIFO,ProportionalAllocation,4,7,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,LRU,GlobalAllocation,4,0,17200,{'interleave': 'trace-order'},0.0172
shared,0,sample_trace,LRU,GlobalAllocation,4,0,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,LRU,GlobalAllocation,4,0,6200,{'interleave': 'trace-order'},0.0062
shared_total,,trace-driven,LRU,GlobalAllocation,4,1,13300,{'interleave': 'trace-order'},0.0133
shared,0,sample_trace,LRU,GlobalAllocation,4,1,3700,{'interleave': 'trace-order'},0.0037
shared,1,sample_trace,LRU,GlobalAllocation,4,1,4800,{'interleave': 'trace-order'},0.0048
shared_total,,trace-driven,LRU,GlobalAllocation,4,2,12400,{'interleave': 'trace-order'},0.0124
shared,0,sample_trace,LRU,GlobalAllocation,4,2,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,LRU,GlobalAllocation,4,2,4500,{'interleave': 'trace-order'},0.0045
shared_total,,trace-driven,LRU,GlobalAllocation,4,3,17500,{'interleave': 'trace-order'},0.0175
shared,0,sample_trace,LRU,GlobalAllocation,4,3,4200,{'interleave': 'trace-order'},0.0042
shared,1,sample_trace,LRU,GlobalAllocation,4,3,5300,{'interleave': 'trace-order'},0.0053
shared_total,,trace-driven,LRU,GlobalAllocation,4,4,12700,{'interleave': 'trace-order'},0.0127
shared,0,sample_trace,LRU,GlobalAllocation,4,4,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,LRU,GlobalAllocation,4,4,4500,{'interleave': 'trace-order'},0.0045
shared_total,,trace-driven,LRU,GlobalAllocation,4,5,11700,{'interleave': 'trace-order'},0.0117
shared,0,sample_trace,LRU,GlobalAllocation,4,5,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,LRU,GlobalAllocation,4,5,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,LRU,GlobalAllocation,4,6,14700,{'interleave': 'trace-order'},0.0147
shared,0,sample_trace,LRU,GlobalAllocation,4,6,4200,{'interleave': 'trace-order'},0.0042
shared,1,sample_trace,LRU,GlobalAllocation,4,6,5100,{'interleave': 'trace-order'},0.0051
shared_total,,trace-driven,LRU,GlobalAllocation,4,7,15800,{'interleave': 'trace-order'},0.0158
shared,0,sample_trace,LRU,GlobalAllocation,4,7,4600,{'interleave': 'trace-order'},0.0046
shared,1,sample_trace,LRU,GlobalAllocation,4,7,6200,{'interleave': 'trace-order'},0.0062
shared_total,,trace-driven,LRU,LocalAllocation,4,0,12800,{'interleave': 'trace-order'},0.0128
shared,0,sample_trace,LRU,LocalAllocation,4,0,3500,{'interleave': 'trace-order'},0.0035
shared,1,sample_trace,LRU,LocalAllocation,4,0,3400,{'interleave': 'trace-order'},0.0034
