mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared,1,sample_trace,SecondChance,LocalAllocation,4,0,7200,{'interleave': 'trace-order'},0.0072
shared_total,,trace-driven,SecondChance,LocalAllocation,4,1,19800,{'interleave': 'trace-order'},0.0198
shared,0,sample_trace,SecondChance,LocalAllocation,4,1,4400,{'interleave': 'trace-order'},0.0044
shared,1,sample_trace,SecondChance,LocalAllocation,4,1,6000,{'interleave': 'trace-order'},0.006
shared_total,,trace-driven,SecondChance,ProportionalAllocation,4,0,21500,{'interleave': 'trace-order'},0.0215
shared,0,sample_trace,SecondChance,ProportionalAllocation,4,0,5100,{'interleave': 'trace-order'},0.0051
shared,1,sample_trace,SecondChance,ProportionalAllocation,4,0,6300,{'interleave': 'trace-order'},0.0063
shared_total,,trace-driven,SecondChance,ProportionalAllocation,4,1,18800,{'interleave': 'trace-order'},0.0188
shared,0,sample_trace,SecondChance,ProportionalAllocation,4,1,4400,{'interleave': 'trace-order'},0.0044
shared,1,sample_trace,SecondChance,ProportionalAllocation,4,1,5800,{'interleave': 'trace-order'},0.0058
shared_total,,trace-driven,WSClock,GlobalAllocation,4,0,32100,{'interleave': 'trace-order'},0.0321
shared,0,sample_trace,WSClock,GlobalAllocation,4,0,7400,{'interleave': 'trace-order'},0.0074
shared,1,sample_trace,WSClock,GlobalAllocation,4,0,12500,{'interleave': 'trace-order'},0.0125
shared_total,,trace-driven,WSClock,GlobalAllocation,4,1,40400,{'interleave': 'trace-order'},0.0404
shared,0,sample_trace,WSClock,GlobalAllocation,4,1,19100,{'interleave': 'trace-order'},0.0191
shared,1,sample_trace,WSClock,GlobalAllocation,4,1,11900,{'interleave': 'trace-order'},0.0119
shared_total,,trace-driven,WSClock,LocalAllocation,4,0,20100,{'interleave': 'trace-order'},0.0201
shared,0,sample_trace,WSClock,LocalAllocation,4,0,4800,{'interleave': 'trace-order'},0.0048
shared,1,sample_trace,WSClock,LocalAllocation,4,0,7100,{'interleave': 'trace-order'},0.0071
shared_total,,trace-driven,WSClock,LocalAllocation,4,1,17400,{'interleave': 'trace-order'},0.0174
shared,0,sample_trace,WSClock,LocalAllocation,4,1,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,WSClock,LocalAllocation,4,1,6200,{'interleave': 'trace-order'},0.0062
shared_total,,trace-driven,WSClock,ProportionalAllocation,4,0,12900,{'interleave': 'trace-order'},0.0129
shared,0,sample_trace,WSClock,ProportionalAllocation,4,0,2900,{'interleave': 'trace-order'},0.0029
shared,1,sample_trace,WSClock,ProportionalAllocation,4,0,4300,{'interleave': 'trace-order'},0.0043
shared_total,,trace-driven,WSClock,ProportionalAllocation,4,1,11900,{'interleave': 'trace-order'},0.0119
shared,0,sample_trace,WSClock,ProportionalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,WSClock,ProportionalAllocation,4,1,4100,{'interleave': 'trace-order'},0.0041
shared_total,,trace-driven,FIFO,GlobalAllocation,5,0,15000,{'interleave': 'trace-order'},0.015
shared,0,sample_trace,FIFO,GlobalAllocation,5,0,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,FIFO,GlobalAllocation,5,0,4600,{'interleave': 'trace-order'},0.0046
shared_total,,trace-driven,FIFO,GlobalAllocation,5,1,11700,{'interleave': 'trace-order'},0.0117
shared,0,sample_trace,FIFO,GlobalAllocation,5,1,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,FIFO,GlobalAllocation,5,1,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,FIFO,LocalAllocation,5,0,12600,{'interleave': 'trace-order'},0.0126
shared,0,sample_trace,FIFO,LocalAllocation,5,0,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,FIFO,LocalAllocation,5,0,3400,{'interleave': 'trace-order'},0.0034
shared_total,,trace-driven,FIFO,LocalAllocation,5,1,10300,{'interleave': 'trace-order'},0.0103
shared,0,sample_trace,FIFO,LocalAllocation,5,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,LocalAllocation,5,1,2800,{'interleave': 'trace-order'},0.0028
shared_total,,trace-driven,FIFO,ProportionalAllocation,5,0,11400,{'interleave': 'trace-order'},0.0114
shared,0,sample_trace,FIFO,ProportionalAllocation,5,0,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,ProportionalAllocation,5,0,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,FIFO,ProportionalAllocation,5,1,9400,{'interleave': 'trace-order'},0.0094
shared,0,sample_trace,FIFO,ProportionalAllocation,5,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,FIFO,ProportionalAllocation,5,1,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,LRU,GlobalAllocation,5,0,14000,{'interleave': 'trace-order'},0.014
shared,0,sample_trace,LRU,GlobalAllocation,5,0,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,LRU,GlobalAllocation,5,0,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,LRU,GlobalAllocation,5,1,11700,{'interleave': 'trace-order'},0.0117
shared,0,sample_trace,LRU,GlobalAllocation,5,1,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,LRU,GlobalAllocation,5,1,3700,{'interleave': 'trace-order'},0.0037
shared_total,,trace-driven,LRU,LocalAllocation,5,0,13000,{'interleave': 'trace-order'},0.013
shared,0,sample_trace,LRU,LocalAllocation,5,0,3700,{'interleave': 'trace-order'},0.0037
shared,1,sample_trace,LRU,LocalAllocation,5,0,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,LRU,LocalAllocation,5,1,10200,{'interleave': 'trace-order'},0.0102
shared,0,sample_trace,LRU,LocalAllocation,5,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,LRU,LocalAllocation,5,1,3200,{'interleave': 'trace-order'},0.0032
shared_total,,trace-driven,LRU,ProportionalAllocation,5,0,15300,{'interleave': 'trace-order'},0.0153
shared,0,sample_trace,LRU,ProportionalAllocation,5,0,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,LRU,ProportionalAllocation,5,0,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,LRU,ProportionalAllocation,5,1,9900,{'interleave': 'trace-order'},0.0099
shared,0,sample_trace,LRU,ProportionalAllocation,5,1,2900,{'interleave': 'trace-order'},0.0029
shared,1,sample_trace,LRU,ProportionalAllocation,5,1,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,NRU,GlobalAllocation,5,0,13700,{'interleave': 'trace-order'},0.0137
shared,0,sample_trace,NRU,GlobalAllocation,5,0,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,NRU,GlobalAllocation,5,0,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,NRU,GlobalAllocation,5,1,11900,{'interleave': 'trace-order'},0.0119
shared,0,sample_trace,NRU,GlobalAllocation,5,1,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,NRU,GlobalAllocation,5,1,3800,{'interleave': 'trace-order'},0.0038
