profile,workload_name,algorithm,allocation_policy,memory_frames,process_id,trials,mean_ns,median_ns,std_ns,cv,min_ns,max_ns,range_ns
trace_quiet,sample_trace,NRU,ProportionalAllocation,5,1,8,2725.0,2600.0,446.41,0.163822,2400.0,3800.0,1400.0
trace_quiet,sample_trace,NRU,ProportionalAllocation,6,0,8,2387.5,2350.0,112.6,0.047162,2300.0,2600.0,300.0
trace_quiet,sample_trace,NRU,ProportionalAllocation,6,1,8,2612.5,2600.0,83.45,0.031943,2500.0,2700.0,200.0
trace_quiet,sample_trace,NRU,ProportionalAllocation,8,0,8,2412.5,2400.0,83.45,0.034592,2300.0,2600.0,300.0
trace_quiet,sample_trace,NRU,ProportionalAllocation,8,1,8,2587.5,2600.0,64.09,0.024768,2500.0,2700.0,200.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,4,0,8,5425.0,5250.0,839.64,0.154773,4500.0,6700.0,2200.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,4,1,8,5475.0,5450.0,430.12,0.07856,4900.0,6000.0,1100.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,5,0,8,3275.0,3050.0,846.42,0.258449,2500.0,5000.0,2500.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,5,1,8,2987.5,2850.0,279.99,0.09372,2700.0,3400.0,700.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,6,0,8,3000.0,2800.0,573.21,0.191071,2500.0,4200.0,1700.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,6,1,8,2950.0,2850.0,256.35,0.086898,2700.0,3400.0,700.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,8,0,8,3237.5,2950.0,750.12,0.231697,2600.0,4500.0,1900.0
trace_quiet,sample_trace,SecondChance,GlobalAllocation,8,1,8,3200.0,2850.0,690.76,0.215861,2800.0,4800.0,2000.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,4,0,8,4412.5,4350.0,348.21,0.078914,3800.0,5000.0,1200.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,4,1,8,4875.0,4900.0,103.51,0.021233,4700.0,5000.0,300.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,5,0,8,3525.0,3400.0,1149.84,0.326197,2400.0,5400.0,3000.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,5,1,8,3562.5,3350.0,989.86,0.277855,2600.0,4900.0,2300.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,6,0,8,2425.0,2350.0,249.28,0.102798,2200.0,3000.0,800.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,6,1,8,2650.0,2600.0,75.59,0.028526,2600.0,2800.0,200.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,8,0,8,2575.0,2400.0,459.04,0.178267,2300.0,3700.0,1400.0
trace_quiet,sample_trace,SecondChance,LocalAllocation,8,1,8,2600.0,2600.0,53.45,0.020559,2500.0,2700.0,200.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,4,0,8,2787.5,2400.0,1026.0,0.368072,2300.0,5300.0,3000.0
