workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,3,0,0.002,0.0019,0.95,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,3,1,0.0021,0.0013,0.6190476190476191,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,4,0,0.0019,0.0018,0.9473684210526315,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,4,1,0.0019,0.0013,0.6842105263157895,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,5,0,0.0021,0.0016,0.7619047619047619,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,5,1,0.0021,0.0016,0.7619047619047619,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,6,0,0.0021,0.0018,0.8571428571428571,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,6,1,0.002,0.0015,0.75,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,7,0,0.002,0.0018,0.9,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,7,1,0.002,0.0015,0.75,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,8,0,0.0019,0.0016,0.8421052631578947,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,8,1,0.002,0.0015,0.75,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,9,0,0.0021,0.0017,0.8095238095238095,1,0,1,0
trace-driven,trace,demo_locality,FIFO,ProportionalAllocation,4,9,1,0.0019,0.0015,0.7894736842105263,1,0,1,0
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,0,0,0.003,0.004,1.3333333333333333,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,0,1,0.0027,0.0041,1.5185185185185186,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,1,0,0.0033,0.0034,1.0303030303030303,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,1,1,0.0027,0.0032,1.1851851851851851,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,2,0,0.0029,0.003,1.0344827586206897,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,2,1,0.0027,0.003,1.1111111111111112,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,3,0,0.003,0.0033,1.1,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,3,1,0.0026,0.0028,1.0769230769230769,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,4,0,0.0026,0.0028,1.0769230769230769,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,4,1,0.0026,0.0028,1.0769230769230769,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,5,0,0.0026,0.004,1.5384615384615385,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,5,1,0.0025,0.0044,1.76,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,6,0,0.0028,0.003,1.0714285714285714,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,6,1,0.0024,0.0029,1.2083333333333333,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,7,0,0.0025,0.0026,1.04,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,7,1,0.0025,0.0026,1.04,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,8,0,0.0024,0.0025,1.0416666666666667,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,8,1,0.0023,0.0025,1.0869565217391304,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,9,0,0.0023,0.0025,1.0869565217391304,1,,,
trace-driven,trace,demo_locality,LRU,GlobalAllocation,4,9,1,0.0022,0.0024,1.0909090909090908,1,,,
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,0,0,0.0024,0.0028,1.1666666666666667,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,0,1,0.0022,0.0024,1.0909090909090908,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,1,0,0.0022,0.0025,1.1363636363636365,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,1,1,0.0022,0.0019,0.8636363636363636,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,2,0,0.0022,0.0026,1.1818181818181819,1,0,1,0
