mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared,1,sample_trace,SecondChance,LocalAllocation,4,0,20700,{'interleave': 'trace-order'},0.0207
shared_total,,trace-driven,SecondChance,LocalAllocation,4,1,19100,{'interleave': 'trace-order'},0.0191
shared,0,sample_trace,SecondChance,LocalAllocation,4,1,4600,{'interleave': 'trace-order'},0.0046
shared,1,sample_trace,SecondChance,LocalAllocation,4,1,5700,{'interleave': 'trace-order'},0.0057
shared_total,,trace-driven,SecondChance,ProportionalAllocation,4,0,30900,{'interleave': 'trace-order'},0.0309
shared,0,sample_trace,SecondChance,ProportionalAllocation,4,0,7700,{'interleave': 'trace-order'},0.0077
shared,1,sample_trace,SecondChance,ProportionalAllocation,4,0,10500,{'interleave': 'trace-order'},0.0105
shared_total,,trace-driven,SecondChance,ProportionalAllocation,4,1,16800,{'interleave': 'trace-order'},0.0168
shared,0,sample_trace,SecondChance,ProportionalAllocation,4,1,4200,{'interleave': 'trace-order'},0.0042
shared,1,sample_trace,SecondChance,ProportionalAllocation,4,1,5600,{'interleave': 'trace-order'},0.0056
shared_total,,trace-driven,WSClock,GlobalAllocation,4,0,19700,{'interleave': 'trace-order'},0.0197
shared,0,sample_trace,WSClock,GlobalAllocation,4,0,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,WSClock,GlobalAllocation,4,0,8300,{'interleave': 'trace-order'},0.0083
shared_total,,trace-driven,WSClock,GlobalAllocation,4,1,17600,{'interleave': 'trace-order'},0.0176
shared,0,sample_trace,WSClock,GlobalAllocation,4,1,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,WSClock,GlobalAllocation,4,1,8400,{'interleave': 'trace-order'},0.0084
shared_total,,trace-driven,WSClock,LocalAllocation,4,0,13900,{'interleave': 'trace-order'},0.0139
shared,0,sample_trace,WSClock,LocalAllocation,4,0,3500,{'interleave': 'trace-order'},0.0035
shared,1,sample_trace,WSClock,LocalAllocation,4,0,4500,{'interleave': 'trace-order'},0.0045
shared_total,,trace-driven,WSClock,LocalAllocation,4,1,11100,{'interleave': 'trace-order'},0.0111
shared,0,sample_trace,WSClock,LocalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,WSClock,LocalAllocation,4,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,WSClock,ProportionalAllocation,4,0,13500,{'interleave': 'trace-order'},0.0135
shared,0,sample_trace,WSClock,ProportionalAllocation,4,0,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,WSClock,ProportionalAllocation,4,0,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,WSClock,ProportionalAllocation,4,1,11500,{'interleave': 'trace-order'},0.0115
shared,0,sample_trace,WSClock,ProportionalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,WSClock,ProportionalAllocation,4,1,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,FIFO,GlobalAllocation,5,0,15100,{'interleave': 'trace-order'},0.0151
shared,0,sample_trace,FIFO,GlobalAllocation,5,0,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,FIFO,GlobalAllocation,5,0,4600,{'interleave': 'trace-order'},0.0046
shared_total,,trace-driven,FIFO,GlobalAllocation,5,1,12200,{'interleave': 'trace-order'},0.0122
shared,0,sample_trace,FIFO,GlobalAllocation,5,1,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,FIFO,GlobalAllocation,5,1,3700,{'interleave': 'trace-order'},0.0037
shared_total,,trace-driven,FIFO,LocalAllocation,5,0,12500,{'interleave': 'trace-order'},0.0125
shared,0,sample_trace,FIFO,LocalAllocation,5,0,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,FIFO,LocalAllocation,5,0,3100,{'interleave': 'trace-order'},0.0031
shared_total,,trace-driven,FIFO,LocalAllocation,5,1,9900,{'interleave': 'trace-order'},0.0099
shared,0,sample_trace,FIFO,LocalAllocation,5,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,LocalAllocation,5,1,2600,{'interleave': 'trace-order'},0.0026
shared_total,,trace-driven,FIFO,ProportionalAllocation,5,0,10200,{'interleave': 'trace-order'},0.0102
shared,0,sample_trace,FIFO,ProportionalAllocation,5,0,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,ProportionalAllocation,5,0,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,FIFO,ProportionalAllocation,5,1,8500,{'interleave': 'trace-order'},0.0085
