config_label,workload_kind,workload_label,trace_name,algorithm,allocation_policy,total_frames,process_count,source_file_count,trial_count,page_fault_total,page_fault_rate_mean,page_fault_rate_median,page_fault_rate_std,page_fault_rate_ci_low,page_fault_rate_ci_high,page_faults_mean,page_faults_median,page_faults_std,page_faults_ci_low,page_faults_ci_high,page_faults_sum,page_replacements_mean,disk_reads_mean,disk_writes_mean,total_disk_io_mean,runtime_ms_mean,throughput_mean,worst_case_slowdown_mean,mean_slowdown_mean,aggregate_wss_mean,aggregate_wss_median,aggregate_wss_std,aggregate_wss_ci_low,aggregate_wss_ci_high,aggregate_wss_sum,memory_ratio_to_wss_mean,memory_ratio_to_wss_median,memory_ratio_to_wss_std,memory_ratio_to_wss_ci_low,memory_ratio_to_wss_ci_high,memory_ratio_to_wss_sum,fairness_jains_index_mean,fairness_variance_mean,fairness_cv_mean,fairness_max_ratio_mean,fairness_mean_mean,fairness_std_mean,fairness_min_mean,fairness_max_mean,outlier_trial_count,validation_issue_count,source_files
synthetic | high_locality | WSClock | LocalAllocation | f699 | p8,synthetic,high_locality,,WSClock,LocalAllocation,699,8,1,10,0.0,0.0707,0.07058333333333333,0.0019568966361165952,0.06948710289893256,0.07191289710106744,848.4,847.0,23.482759633399137,833.8452347871909,862.9547652128091,8484.0,183.8,848.4,1.8,850.2,5.328720000000001,2254317.9738167343,2.0329330042180285,1.6459171653743674,702.8,700.5,8.328265125462806,697.6380877961747,707.9619122038252,7028.0,0.9947303862125569,0.9978591807621765,0.011590003541425701,0.9875468275936137,1.0019139448315002,9.947303862125569,0.9387160886976346,0.09200274202150681,0.12168463356455823,2.3164483450319726,1.6459171653743674,0.1876935438834563,1.4277959891802965,2.0329330042180285,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_LocalAllocation_p8_f699.json
synthetic | high_locality | WSClock | LocalAllocation | f839 | p8,synthetic,high_locality,,WSClock,LocalAllocation,839,8,1,10,0.0,0.06691666666666667,0.06683333333333333,0.0014672347384715842,0.0660072651540711,0.06782606817926223,803.0,802.0,17.60681686165901,792.0871818488531,813.9128181511469,8030.0,61.0,803.0,0.0,803.0,5.2088399999999995,2307507.375122949,1.7375382975639386,1.6442805954413915,702.8,700.5,8.328265125462806,697.6380877961747,707.9619122038252,7028.0,1.1939610787300934,1.1977165274098227,0.013911320416675447,1.1853387530057824,1.2025834044544044,11.939610787300934,0.9979165732755506,0.005344107494286644,0.03630999318270341,1.1339502526571534,1.6442805954413915,0.059558163216317725,1.5405585260151613,1.7375382975639386,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_LocalAllocation_p8_f839.json
synthetic | high_locality | WSClock | ProportionalAllocation | f1048 | p8,synthetic,high_locality,,WSClock,ProportionalAllocation,1048,8,1,10,0.0,0.06546666666666667,0.06554166666666666,0.0010402991022884828,0.0648218826028989,0.06611145073043445,785.6,786.5,12.483589227461788,777.8625912347867,793.3374087652134,7856.0,0.0,785.6,0.0,785.6,4.9878,2407589.367162398,1.644724700318983,1.5768425105356016,702.8,700.5,8.328265125462806,697.6380877961747,707.9619122038252,7028.0,1.4913840411312727,1.4960749949052374,0.017376714894726922,1.4806138416568055,1.5021542406057398,14.913840411312728,0.9966851522090145,0.0060465828041465185,0.035453986861803816,1.1315504874119042,1.5768425105356016,0.055171231902683006,1.4743237603452917,1.644724700318983,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p8_f1048.json
synthetic | high_locality | WSClock | ProportionalAllocation | f110 | p2,synthetic,high_locality,,WSClock,ProportionalAllocation,110,2,1,10,0.0,0.053566666666666665,0.05333333333333334,0.0021189620100417086,0.05225332040615499,0.05488001292717834,160.7,160.0,6.3568860301251275,156.75996121846495,164.64003878153503,1607.0,50.7,160.7,0.1,160.8,1.24658,2408390.9209242472,1.7290688214375354,1.6967412435471942,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,0.8201914992682949,0.8240740740740741,0.020505367236886073,0.8074821409818512,0.8329008575547386,8.20191499268295,0.9995225610765852,0.0028404034633118724,0.018905506463140643,1.0387976808228716,1.6967412435471942,0.03232757789034121,1.664413665656853,1.7290688214375354,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p2_f110.json
synthetic | high_locality | WSClock | ProportionalAllocation | f138 | p2,synthetic,high_locality,,WSClock,ProportionalAllocation,138,2,1,10,0.0,0.0484,0.04833333333333334,0.00151877143331927,0.04745865571300046,0.04934134428699954,145.2,145.0,4.556314299957807,142.37596713900138,148.0240328609986,1452.0,7.8,145.2,0.0,145.2,1.36138,2321417.665410827,1.6772558040858505,1.6408992337442356,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,1.028967517263861,1.0338383838383838,0.025724915260820724,1.0130230495954136,1.0449119849323085,10.28967517263861,0.9992350241012294,0.004245729685459719,0.02197843713446657,1.0455603017653017,1.6408992337442356,0.03635657034161492,1.6045426634026208,1.6772558040858505,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p2_f138.json
synthetic | high_locality | WSClock | ProportionalAllocation | f166 | p2,synthetic,high_locality,,WSClock,ProportionalAllocation,166,2,1,10,0.0,0.048,0.04816666666666666,0.0012995725793078618,0.04719451657027872,0.04880548342972128,144.0,144.5,3.898717737923586,141.58354971083617,146.41645028916383,1440.0,0.0,144.0,0.0,144.0,1.21721,2466782.740899058,1.6442649465819428,1.6286578274869883,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,1.237743535259427,1.2436026936026936,0.030944463284755325,1.2185639582089758,1.2569231123098783,12.377435352594269,0.9998585942046552,0.000739803378137588,0.009590001257626003,1.0194679594401441,1.6286578274869883,0.015607119094954491,1.6130507083920338,1.6442649465819428,0,20,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p2_f166.json
synthetic | high_locality | WSClock | ProportionalAllocation | f207 | p2,synthetic,high_locality,,WSClock,ProportionalAllocation,207,2,1,10,0.0,0.048,0.04816666666666666,0.0012995725793078618,0.04719451657027872,0.04880548342972128,144.0,144.5,3.898717737923586,141.58354971083617,146.41645028916383,1440.0,0.0,144.0,0.0,144.0,1.5319500000000001,2114665.5766202062,1.727957739020664,1.6863567439176381,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,1.5434512758957915,1.5507575757575758,0.03858737289123108,1.5195345743931201,1.5673679773984628,15.434512758957915,0.9986293117026286,0.00809562415522768,0.02453659813114309,1.0520475061003989,1.6863567439176381,0.041600995103025715,1.6447557488146125,1.727957739020664,3,23,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p2_f207.json
synthetic | high_locality | WSClock | ProportionalAllocation | f236 | p4,synthetic,high_locality,,WSClock,ProportionalAllocation,236,4,1,10,0.0,0.06233333333333333,0.06258333333333334,0.0015563490039905,0.06136869822673142,0.06329796843993525,374.0,375.5,9.338094023943002,368.2121893603885,379.7878106396115,3740.0,138.0,374.0,2.6,376.6,2.65032,2265748.6167350467,2.015637552136481,1.7826490983430057,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,0.7989494331546885,0.7986669415240844,0.021349597506541765,0.7857168155259778,0.8121820507833991,7.989494331546885,0.9926451850506607,0.044903770600170055,0.08056118930984954,1.2236312047864977,1.7826490983430057,0.14728630080759078,1.6481479950365896,2.015637552136481,0,20,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p4_f236.json
synthetic | high_locality | WSClock | ProportionalAllocation | f295 | p4,synthetic,high_locality,,WSClock,ProportionalAllocation,295,4,1,10,0.0,0.05545,0.0555,0.001335519041837708,0.05462223672197636,0.05627776327802364,332.7,333.0,8.013114251026252,327.73342033185816,337.6665796681418,3327.0,38.4,332.7,0.0,332.7,2.83141,2233002.500143598,1.7382903769627815,1.6617337421778764,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,0.9986867914433606,0.9983336769051054,0.026686996883177206,0.9821460194074724,1.015227563479249,9.986867914433606,0.9907811960252196,0.019659211473075974,0.0553839820293889,1.1724351524209016,1.6617337421778764,0.08676680937364578,1.5267791165083524,1.7382903769627815,2,22,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p4_f295.json
synthetic | high_locality | WSClock | ProportionalAllocation | f354 | p4,synthetic,high_locality,,WSClock,ProportionalAllocation,354,4,1,10,0.0,0.05418333333333333,0.05425,0.0009499999999999996,0.05359451723300998,0.054772149433656686,325.1,325.5,5.7,321.5671033980599,328.63289660194016,3251.0,0.7,325.1,0.0,325.1,2.43294,2466756.463735452,1.6525655891840016,1.5988759924309226,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,1.1984241497320327,1.1980004122861265,0.03202439625981262,1.1785752232889668,1.2182730761750986,11.984241497320326,0.9983318853119482,0.005233868982824809,0.029699646387654908,1.0836842515818896,1.5988759924309226,0.04771592126869242,1.5286599385457893,1.6525655891840016,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p4_f354.json
synthetic | high_locality | WSClock | ProportionalAllocation | f442 | p4,synthetic,high_locality,,WSClock,ProportionalAllocation,442,4,1,10,0.0,0.05418333333333333,0.05425,0.0009499999999999996,0.05359451723300998,0.054772149433656686,325.1,325.5,5.7,321.5671033980599,328.63289660194016,3251.0,0.0,325.1,0.0,325.1,2.42896,2470651.5890303547,1.633067711547113,1.598936622956927,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,1.4963374976880182,1.4958084243798528,0.03998526312665868,1.4715543748410262,1.52112062053501,14.963374976880182,0.9996235124575326,0.0012670710623960862,0.01718060067631924,1.0459211458605537,1.598936622956927,0.027457471036785412,1.5619041055965543,1.633067711547113,0,20,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_WSClock_ProportionalAllocation_p4_f442.json
