hypothesis,test_condition,outcome,rules,main_metric,main_baseline_value,main_comparison_value,main_percent_change,main_threshold_percent,rules_summary,rule_count
H1,"High locality, 4 processes, near 1.2x aggregate WSS",Supported,"[{'metric': 'page_faults', 'baseline_label': 'LRU+Local', 'comparison_label': 'LRU+Global', 'baseline_value': 324.0, 'comparison_value': 323.875, 'percent_change': -0.038580246913580245, 'percent_improvement': 0.038580246913580245, 'threshold_percent': 0.0, 'expected_direction': 'decrease', 'direction_ok': True, 'threshold_met': True, 'outcome': 'Supported', 'kind': 'primary', 'note': 'Global allocation should lower total faults'}, {'metric': 'worst_slowdown', 'baseline_label': 'LRU+Local', 'comparison_label': 'LRU+Global', 'baseline_value': 1.7481662827685953, 'comparison_value': 2.774966247759921, 'percent_change': 58.73582937231625, 'percent_improvement': -58.73582937231625, 'threshold_percent': 30.0, 'expected_direction': 'increase', 'direction_ok': True, 'threshold_met': True, 'outcome': 'Supported', 'kind': 'primary', 'note': 'Global allocation may slow down the worst process'}]",page_faults,324.0,323.875,-0.038580246913580245,0.0,page_faults:-0.04%; worst_slowdown:58.74%,2
H2,"Near the aggregate WSS boundary, 4 processes",Supported,"[{'metric': 'slowdown_variance', 'baseline_label': 'Local', 'comparison_label': 'Global', 'baseline_value': 0.007280609203034567, 'comparison_value': 0.03038687462960742, 'percent_change': 317.36719802159047, 'percent_improvement': -317.36719802159047, 'threshold_percent': 15.0, 'expected_direction': 'increase', 'direction_ok': True, 'threshold_met': True, 'outcome': 'Supported', 'kind': 'primary', 'note': 'Global allocation should increase slowdown variance near the WSS boundary'}]",slowdown_variance,0.007280609203034567,0.03038687462960742,317.36719802159047,15.0,slowdown_variance:317.37%,1
